tema,pilar
"Lo que de verdad cuesta mandar dinero a casa cada mes",Remesas
"El tipo de cambio escondido: donde te cobran sin que lo veas",Remesas
"Mandar dinero por app contra la ventanilla de siempre",Remesas
"Cuanto suman las comisiones de remesas en cinco años",Remesas
"Por que mandas mas de lo que puedes y como poner un limite",Remesas
"Mandar dinero a casa sin quedarte sin nada aqui",Remesas
"Que pasa con las remesas cuando pierdes el trabajo",Remesas
"Llegaste sin historial de credito: por donde se empieza",Credito
"Por que te niegan todo aunque nunca hayas debido nada",Credito
"La tarjeta asegurada: la puerta de entrada que nadie explica",Credito
"Cuanto tarda de verdad en subir tu puntaje de credito",Credito
"El error de cerrar tu primera tarjeta cuando ya no la usas",Credito
"Que mira el banco cuando te dice que no",Credito
"Pagar la renta puntual cinco años y que no te sirva de nada",Credito
"Como reportar tu renta para que si construya credito",Credito
"Ser autorizado en la tarjeta de otro: cuando ayuda y cuando no",Credito
"Cambiar el cheque en el supermercado: cuanto te cuesta al año",Banca
"Se puede abrir cuenta de banco sin numero de seguro social",Banca
"Cuentas sin cargos mensuales contra las que te sangran",Banca
"El sobregiro: 35 dolares por gastar tres",Banca
"Guardar el dinero en efectivo en casa: lo que arriesgas",Banca
"Las tarjetas prepagadas y sus cargos escondidos",Banca
"Declarar impuestos con ITIN: que es y para que sirve",Impuestos
"W-2 contra 1099: por que uno te deja debiendo",Impuestos
"Te pagan en efectivo: que significa eso en tu declaracion",Impuestos
"El reembolso de impuestos no es un regalo, es tu dinero",Impuestos
"Quien te cobra por hacer algo que es gratis",Impuestos
"Guardar recibos todo el año: cuanto vale de verdad",Impuestos
"Los creditos por hijos cuando declaras con ITIN",Impuestos
"Te piden historial de credito para rentar y no lo tienes",Renta
"Deposito doble por ser nuevo: es legal y como evitarlo",Renta
"Rentar con un co-firmante: lo que estas firmando de verdad",Renta
"Cuanto de tu cheque deberia irse en renta",Renta
"Compartir cuarto para ahorrar: hasta cuando compensa",Renta
"Los lotes de aqui te financiamos y su interes real",Carro
"Comprar carro de contado contra financiado siendo nuevo aqui",Carro
"El seguro de carro te cobra mas por no tener historial",Carro
"La reparacion que cuesta mas que el carro",Carro
"El notario que no es abogado: la estafa mas vieja",Estafas
"Te cobran por formularios que el gobierno da gratis",Estafas
"Las llamadas que dicen ser del gobierno y piden dinero",Estafas
"Prestamos de dia de pago: como funciona la trampa",Estafas
"El trabajo que te pide pagar para empezar",Estafas
"Le prestaste a un familiar y no te paga: que haces",Familia
"Mantener dos casas en dos paises con un solo cheque",Familia
"Cuando la familia alla cree que aqui se recoge dinero",Familia
"Ahorrar para volver o ahorrar para quedarte",Familia
"El fondo de emergencia cuando no tienes red aqui",Ahorro
"Cuanto necesitas guardado si te quedas sin trabajo",Ahorro
"Ahorrar en dolares o mandar y ahorrar alla",Ahorro
"Trabajas horas extra y sigues sin poder guardar nada",Ahorro
"Dos trabajos y cero ahorro: donde se esta yendo",Ahorro
"Que pasa con tu dinero si te tienes que ir de un dia para otro",Emergencia
"El seguro medico y la factura de la sala de emergencias",Salud
"Ir al doctor sin seguro: lo que si puedes hacer",Salud
"La deuda medica y como te afecta el credito",Salud
"Cotizar para el retiro trabajando aqui",Retiro
"El 401k de tu trabajo que no estas usando",Retiro
"Comprar casa con ITIN: si se puede y que piden",Casa
"Cuanto necesitas de enganche de verdad",Casa
"Rentar toda la vida contra comprar: los numeros reales",Casa
